==17427== NVPROF is profiling process 17427, command: ./boxFilterNPP 0
==17427== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17427== Profiling application: ./boxFilterNPP 0
==17427== Profiling result:
==17427== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"sm_efficiency","Multiprocessor Activity",77.041672%,77.041672%,77.041672%
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"achieved_occupancy","Achieved Occupancy",0.354202,0.354202,0.354202
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"ipc","Executed IPC",1.818238,1.818238,1.818238
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"issued_ipc","Issued IPC",1.919550,1.919550,1.919550
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"inst_per_warp","Instructions per warp",1878.210938,1878.210938,1878.210938
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"branch_efficiency","Branch Efficiency",81.405484%,81.405484%,81.405484%
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"warp_execution_efficiency","Warp Execution Efficiency",58.625281%,58.625281%,58.625281%
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",58.144438%,58.144438%,58.144438%
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"inst_replay_overhead","Instruction Replay Overhead",0.001604,0.001604,0.001604
"GeForce GTX 950 (0)","void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",1,"issue_slot_utilization","Issue Slot Utilization",42.993914%,42.993914%,42.993914%
